step,grad_steps,alpha,sps,elapsed
1514,501,0.036871686577796936,279.6926221997104,5.413085222244263
2514,1001,0.019694354385137558,228.7375724460831,10.990761041641235
3514,1501,0.014144214801490307,286.3387593888102,12.27217721939087
4514,2001,0.012296749278903008,332.26794897547774,13.585421085357666
5514,2501,0.011516225524246693,370.434718294997,14.885213851928711
6514,3001,0.011282393708825111,401.73611357851104,16.21462392807007
7514,3501,0.011389892548322678,428.33951998248153,17.54215908050537
8514,4001,0.011813348159193993,451.6009814694179,18.85292625427246
9514,4501,0.012634530663490295,472.0492830677436,20.154675245285034
10514,5001,0.013518042862415314,489.5501690732629,21.476859092712402
11514,5501,0.013860730454325676,502.429057803927,22.916668176651
12514,6001,0.013497656211256981,517.1090621629926,24.199923992156982
13514,6501,0.012982704676687717,530.3810287576757,25.479795217514038
14514,7001,0.012203318998217583,541.8885939892597,26.78410315513611
15514,7501,0.011026673018932343,551.5239943043299,28.129329204559326
16514,8001,0.010371193289756775,558.886213327224,29.548053979873657
17514,8501,0.010000700131058693,565.7735150070766,30.95584988594055
18514,9001,0.009999999776482582,572.4922181531521,32.33930420875549
19514,9501,0.009999999776482582,578.8075014730667,33.71414494514465
20514,10001,0.009999999776482582,584.4409128700153,35.10021209716797
21514,10501,0.009999999776482582,591.0051664666156,36.40238904953003
22514,11001,0.009999999776482582,590.8680736326502,38.10326027870178
23514,11501,0.010185379534959793,592.3164647838174,39.69837307929993
24514,12001,0.010001320391893387,596.3337442145894,41.107853174209595
25514,12501,0.009999999776482582,600.3612926482941,42.497743129730225
26514,13001,0.009999999776482582,603.8688576306039,43.90688419342041
27514,13501,0.009999999776482582,606.5249771864787,45.36334204673767
28514,14001,0.009999999776482582,610.2061536977501,46.72847008705139
29514,14501,0.009999999776482582,610.9403657707617,48.309134006500244
30514,15001,0.009999999776482582,613.0524038194079,49.77388525009155
31514,15501,0.009999999776482582,615.4941434102657,51.20113706588745
32514,16001,0.010025160387158394,616.4647026476001,52.74267911911011
33514,16501,0.010704701766371727,614.1276090305305,54.571720123291016
34514,17001,0.010485722683370113,614.441676350611,56.17131996154785
35514,17501,0.01061267964541912,614.5026248428379,57.79308104515076
36514,18001,0.010947328060865402,614.141699808287,59.455334186553955
37514,18501,0.010587397031486034,612.6966793718886,61.227686166763306
38514,19001,0.010566718876361847,612.0443917523477,62.92680811882019
39514,19501,0.010591760277748108,612.0980564715471,64.55501627922058
40514,20001,0.010728239081799984,613.5788151331267,66.02900719642639
41514,20501,0.010802497155964375,612.0139763389545,67.83178424835205
42514,21001,0.009999999776482582,610.7727744194061,69.60690093040466
43514,21501,0.009999999776482582,611.4708089028121,71.16284108161926
44514,22001,0.009999999776482582,611.3267998665898,72.81539106369019
45514,22501,0.009999999776482582,604.6056414855407,75.27882122993469
46514,23001,0.009999999776482582,606.6103609097377,76.67854523658752
47514,23501,0.009999999776482582,608.3489372994704,78.10320210456848
48514,24001,0.009999999776482582,609.3225480036774,79.61957120895386
49514,24501,0.009999999776482582,608.7106960850541,81.34241819381714
50514,25001,0.009999999776482582,608.728489286904,82.98280906677246
51514,25501,0.009999999776482582,608.8940680401251,84.60256505012512
52514,26001,0.009999999776482582,609.3854898829426,86.17533707618713
53514,26501,0.009999999776482582,609.7712781771746,87.76077508926392
54514,27001,0.009999999776482582,609.4260025943058,89.45138502120972
55514,27501,0.009999999776482582,609.9744776201392,91.01036524772644
56514,28001,0.009999999776482582,610.9246144644457,92.50568509101868
57514,28501,0.009999999776482582,610.3535291487397,94.23063397407532
58514,29001,0.009999999776482582,610.3251890377828,95.8734803199768
59514,29501,0.009999999776482582,611.6378159167673,97.30268216133118
60514,30001,0.009999999776482582,611.9375232736701,98.88918018341064
61514,30501,0.009999999776482582,613.3522297726219,100.29147529602051
62514,31001,0.009999999776482582,613.3324728116945,101.92514300346375
63514,31501,0.009999999776482582,610.4710475772923,104.04097008705139
64514,32001,0.010085444897413254,609.681825261306,105.81584906578064
65514,32501,0.009999999776482582,609.2243001542394,107.53674793243408
66514,33001,0.01076088473200798,609.0293914315749,109.2131199836731
67514,33501,0.01023092120885849,609.2078356934038,110.82260608673096
68514,34001,0.009999999776482582,610.0999611421021,112.2996301651001
69514,34501,0.010365691035985947,611.0156026808971,113.76796221733093
70514,35001,0.010610165074467659,611.8710563091843,115.24323511123657
71514,35501,0.01057861652225256,612.965813477777,116.66882300376892
72514,36001,0.011699509806931019,613.4436571163469,118.20808506011963
73514,36501,0.011176703497767448,613.8739718511507,119.75422215461731
74514,37001,0.011896739713847637,615.1554195735034,121.1303641796112
75514,37501,0.01077243685722351,616.6644912523391,122.45556712150574
76514,38001,0.011238541454076767,617.7383953513549,123.86149311065674
77514,38501,0.010921919718384743,618.4843121032176,125.32896709442139
78514,39001,0.010969310998916626,618.5054804851294,126.94147825241089
79514,39501,0.011544551700353622,618.1030430712395,128.64198112487793
80514,40001,0.011285137385129929,618.3564673735181,130.2064492702484
81514,40501,0.012357781641185284,618.5303727734156,131.78657603263855
82514,41001,0.011176389642059803,619.1389721445962,133.2721791267395
83514,41501,0.011421332135796547,618.9926168502155,134.91921830177307
84514,42001,0.011080143973231316,618.9040398210743,136.5542871952057
85514,42501,0.012364329770207405,617.6868413066338,138.442321062088
86514,43001,0.01070178858935833,615.7935827203047,140.4918830394745
87514,43501,0.011231288313865662,616.509607075135,141.95074820518494
88514,44001,0.010185408405959606,616.5435706844283,143.56487393379211
89514,44501,0.01031913049519062,611.1924287235554,146.45796608924866
90514,45001,0.010627862066030502,611.2158051037374,148.08844804763794
91514,45501,0.010549374856054783,611.5761312489551,149.6363172531128
92514,46001,0.010095846839249134,607.1757028635685,152.36775708198547
93514,46501,0.009999999776482582,608.0698577016193,153.78825116157532
94514,47001,0.009999999776482582,608.5951398256883,155.29864406585693
95514,47501,0.009999999776482582,607.9977148626651,157.09598517417908
96514,48001,0.009999999776482582,605.8079167643812,159.31452417373657
97514,48501,0.009999999776482582,606.3491583426174,160.8215310573578
98514,49001,0.009999999776482582,607.0206136551217,162.29102897644043
99514,49501,0.009999999776482582,607.4162280916565,163.83164525032043
