step,grad_steps,ep_count,critic_loss,actor_loss,alpha,q_mean,target_q_mean,log_prob,dg_gate_mean,dg_gate_std,dg_delight_mean,v_loss,v_mean,alpha_std,alpha_min,alpha_max,ucb_mult_mean,ucb_mult_max,q_disagree_mean
2510,1000,2,0.020760342478752136,0.3474840223789215,0.024729691445827484,2.2349913120269775,2.223270893096924,0.26131483912467957,1.0,0.0,0.1371791511774063,0.0,0.0,0.0,0.024729691445827484,0.024729691445827484,1.0,1.0,0.0
4510,2000,4,0.09557914733886719,0.31042715907096863,0.014269410632550716,4.812812805175781,4.832712173461914,3.9531056880950928,1.0,0.0,0.19316443800926208,0.0,0.0,0.0,0.014269410632550716,0.014269410632550716,1.0,1.0,0.0
6510,3000,6,0.14153897762298584,0.32407283782958984,0.010694977827370167,6.318453311920166,6.266768455505371,4.064633846282959,1.0,0.0,0.2763945162296295,0.0,0.0,0.0,0.010694977827370167,0.010694977827370167,1.0,1.0,0.0
8510,4000,8,0.4956786334514618,0.3206690847873688,0.009999999776482582,8.198502540588379,8.217876434326172,4.697781562805176,1.0,0.0,0.4187472462654114,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
10510,5000,10,0.693649411201477,0.28952556848526,0.009999999776482582,15.758460998535156,15.869335174560547,4.628818035125732,1.0,0.0,0.5543542504310608,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
12510,6000,12,0.6759764552116394,0.3235202431678772,0.009999999776482582,16.777484893798828,16.649063110351562,4.577187538146973,1.0,0.0,0.7214075922966003,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
14510,7000,14,0.9564372301101685,0.31810232996940613,0.009999999776482582,17.6403751373291,17.664794921875,4.980494022369385,1.0,0.0,0.7965613603591919,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
16510,8000,16,1.443544626235962,0.32837575674057007,0.009999999776482582,21.295940399169922,21.2630615234375,4.3230791091918945,1.0,0.0,0.9973498582839966,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
18510,9000,18,1.825412631034851,0.35922664403915405,0.009999999776482582,23.765064239501953,23.866376876831055,3.6985225677490234,1.0,0.0,1.1388170719146729,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
20510,10000,20,2.394190549850464,0.3499411940574646,0.009999999776482582,23.718717575073242,23.561269760131836,4.126664638519287,1.0,0.0,1.2360705137252808,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
22510,11000,22,2.1684412956237793,0.34681862592697144,0.009999999776482582,27.31277847290039,27.575439453125,4.225007057189941,1.0,0.0,1.339882493019104,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
24510,12000,24,2.6686320304870605,0.3615108132362366,0.009999999776482582,23.646854400634766,23.35150909423828,3.4751245975494385,1.0,0.0,1.4863718748092651,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
26510,13000,26,3.022317409515381,0.38722115755081177,0.009999999776482582,30.139175415039062,30.01432991027832,4.332531929016113,1.0,0.0,1.3643831014633179,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
28510,14000,28,2.7523555755615234,0.37789541482925415,0.009999999776482582,32.27861785888672,31.980085372924805,4.058162689208984,1.0,0.0,1.631941318511963,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
30510,15000,30,3.694145441055298,0.3830757439136505,0.009999999776482582,33.70405960083008,33.67438888549805,3.187049627304077,1.0,0.0,1.6275514364242554,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
32510,16000,32,3.6311099529266357,0.42172300815582275,0.009999999776482582,36.660892486572266,36.679420471191406,3.117753028869629,1.0,0.0,1.9127674102783203,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
34510,17000,34,5.242380619049072,0.40866386890411377,0.009999999776482582,29.049312591552734,29.145179748535156,3.1266252994537354,1.0,0.0,1.727827548980713,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
36510,18000,36,3.14906907081604,0.4350714087486267,0.009999999776482582,37.59429168701172,37.31232833862305,2.3381247520446777,1.0,0.0,1.8302912712097168,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
38510,19000,38,3.782630443572998,0.4156022071838379,0.009999999776482582,33.44392395019531,32.97600173950195,3.085663318634033,1.0,0.0,1.830075740814209,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
40510,20000,40,4.394711494445801,0.4424051344394684,0.009999999776482582,29.980712890625,29.904033660888672,3.2727861404418945,1.0,0.0,1.6657359600067139,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
42510,21000,42,3.564135789871216,0.38993507623672485,0.009999999776482582,36.26072692871094,36.172027587890625,3.4999213218688965,1.0,0.0,1.8351449966430664,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
44510,22000,44,5.872717380523682,0.4231889843940735,0.009999999776482582,31.05206298828125,31.307994842529297,3.2603352069854736,1.0,0.0,1.8106751441955566,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
46510,23000,46,6.15159797668457,0.4280106723308563,0.009999999776482582,36.29166030883789,36.03803253173828,3.3161165714263916,1.0,0.0,1.6643376350402832,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
48510,24000,48,4.860441207885742,0.42518654465675354,0.009999999776482582,36.240875244140625,36.21612548828125,3.4492766857147217,1.0,0.0,1.6917517185211182,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
50510,25000,50,3.5637433528900146,0.438985139131546,0.009999999776482582,29.23115348815918,29.24002456665039,3.1327290534973145,1.0,0.0,1.7221671342849731,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
52510,26000,52,4.981236457824707,0.37492918968200684,0.009999999776482582,34.248756408691406,34.13823318481445,2.9453916549682617,1.0,0.0,1.768662452697754,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
54510,27000,54,5.6071696281433105,0.27071765065193176,0.009999999776482582,42.650184631347656,42.52121353149414,3.547656774520874,1.0,0.0,1.7227222919464111,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
56510,28000,56,6.271292686462402,0.2956766188144684,0.009999999776482582,42.511016845703125,42.43293380737305,3.8064117431640625,0.9921875,0.0,1.4787640571594238,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
58510,29000,58,14.53483772277832,0.31126946210861206,0.009999999776482582,43.680870056152344,43.38560485839844,2.9364562034606934,1.0,0.0,1.5330135822296143,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
60510,30000,60,13.73009967803955,0.35638347268104553,0.009999999776482582,44.78697967529297,44.970977783203125,1.9063595533370972,1.0,0.0,1.5278003215789795,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
62510,31000,62,4.498475551605225,0.39546999335289,0.009999999776482582,45.135276794433594,45.4819221496582,1.9993715286254883,1.0,0.0,1.784324288368225,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
64510,32000,64,7.610311508178711,0.3877919018268585,0.009999999776482582,51.38482666015625,51.7055549621582,2.051286220550537,1.0,0.0,1.6836259365081787,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
66510,33000,66,6.255342483520508,0.4152163565158844,0.009999999776482582,36.278324127197266,36.49460983276367,1.5940425395965576,1.0,0.0,1.4569294452667236,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
68510,34000,68,4.278228282928467,0.3897096514701843,0.009999999776482582,40.531005859375,40.7841796875,1.7511948347091675,1.0,0.0,1.628577709197998,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
70510,35000,70,9.51606273651123,0.40756359696388245,0.009999999776482582,45.2368278503418,44.82307434082031,1.9241249561309814,1.0,0.0,1.519020676612854,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
72510,36000,72,4.640538215637207,0.4155619740486145,0.009999999776482582,42.01405334472656,41.940643310546875,1.8724846839904785,1.0,0.0,1.3867449760437012,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
74510,37000,74,4.528094291687012,0.3839453160762787,0.009999999776482582,43.19870376586914,43.246177673339844,1.3831031322479248,1.0,0.0,1.2499805688858032,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
76510,38000,76,5.257626533508301,0.41287460923194885,0.009999999776482582,38.7946891784668,39.029476165771484,1.7705914974212646,1.0,0.0,1.6176884174346924,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
78510,39000,78,3.184156894683838,0.4305717945098877,0.009999999776482582,32.85176086425781,33.10687255859375,1.6607531309127808,1.0,0.0,1.3152376413345337,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
80510,40000,80,3.4706530570983887,0.38338834047317505,0.009999999776482582,32.33586883544922,32.22858810424805,2.0360405445098877,1.0,0.0,1.1582943201065063,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
82510,41000,82,84.93978118896484,0.3926922678947449,0.009999999776482582,38.8834342956543,38.48082733154297,2.0944762229919434,1.0,0.0,1.2987149953842163,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
84510,42000,84,145.71676635742188,0.39008060097694397,0.009999999776482582,40.858924865722656,39.82447052001953,2.40327525138855,1.0,0.0,1.411651372909546,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
86510,43000,86,4.299772262573242,0.38705313205718994,0.009999999776482582,35.93867492675781,36.2104606628418,2.0104994773864746,1.0,0.0,1.273157000541687,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
88510,44000,88,7.395491600036621,0.34504440426826477,0.009999999776482582,37.83930206298828,37.732940673828125,1.982633352279663,1.0,0.0,1.1964036226272583,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
90510,45000,90,2.505147933959961,0.39988869428634644,0.009999999776482582,30.1227970123291,30.4689998626709,2.024493455886841,1.0,0.0,1.090477466583252,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
92510,46000,92,7.453838348388672,0.352397620677948,0.009999999776482582,36.87989044189453,36.48208999633789,2.093822479248047,1.0,0.0,1.788637399673462,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
94510,47000,94,5.1535325050354,0.37595051527023315,0.009999999776482582,29.001977920532227,28.91516876220703,2.428922653198242,1.0,0.0,1.0108767747879028,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
96510,48000,96,6.468862533569336,0.3553045988082886,0.009999999776482582,36.57494354248047,36.85778045654297,2.9916648864746094,0.9921875,0.0,0.9477760195732117,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
98510,49000,98,4.251307010650635,0.3581187129020691,0.009999999776482582,32.37114334106445,32.689605712890625,2.1041364669799805,1.0,0.0,1.1534883975982666,0.0,0.0,0.0,0.009999999776482582,0.009999999776482582,1.0,1.0,0.0
